X,Y
2.3,430.6
3,439.75
4.166666667,420.1666667
5.5,446.5
6.3,410.8
8.166666667,401.5
10,453.1666667
10,394.5
12,388
15.5,3.75
14,381.5
16,449.1666667
15.16666667,16.33333333
15,23.5
15,29.5
15,35.5
14.83333333,42.33333333
16.16666667,51.33333333
16,58.5
16,64.5
16,70.5
16.5,77.33333333
16,375.5
17.5,85.66666667
17.83333333,93.16666667
18,368.75
19,100.875
22,2.166666667
20.16666667,109
20,362.5
22,443.9166667
21.5,118.375
22,356.25
22.83333333,128.1666667
23.83333333,134.1666667
24,350
24.83333333,140.5
28,3
26,146
26,344
28,438.6666667
26.83333333,153.1666667
28,158.5
28.5,337
29.5,166.5
31.5,175.625
31.5,328.8333333
34,4
34,433.5833333
33.5,185
34,322
35.5,194.125
36.5,315.5
37.5,203.5
40,5
40,428.3333333
39.5,213.125
39.5,308.1666667
41.5,223.5
42.5,301
43,231.5
46,5.833333333
44,236.75
46,423.0833333
45.5,244.5
45.5,294.5
46.5,288
47,252.5
47,282
48,257.75
48.16666667,273.6666667
49.16666667,265.1666667
52,6.833333333
52,417.8333333
58,7.666666667
58,412.6666667
64,8.583333333
64,407.4166667
70,9.5
70,402.25
76,10.41666667
76,397
82,11
82,391.75
88,11.66666667
88,386.5833333
94,12
94,381.3333333
100,12.91666667
100,376.1666667
106,13.16666667
106,370.9166667
112,14
112,365.6666667
118,14
118,360.4166667
124,14
124,355.3333333
130,14.66666667
130,350.0833333
131.5,22
132.5,29.33333333
133.5,36.83333333
134.5,44.66666667
136,344.5833333
135.5,52.66666667
136.5,60.66666667
137.5,68.66666667
138.5,76.66666667
139.5,84.33333333
140.5,91.83333333
141.5,338.9
141.5,99.66666667
142.5,107
144.8333333,127.3333333
145.5,332.3333333
145.8333333,134.3333333
146.8333333,142.3333333
147.8333333,149.8333333
148.5,326.3333333
148.8333333,157.3333333
149.8333333,165.3333333
150.5,319.875
150.8333333,173.3333333
151.8333333,181.3333333
152.5,311.75
153,188
153,193.75
154.1666667,201
154.5,303.25
155.1666667,209.8333333
156.5,218.875
156.1666667,295
157.5,227.3333333
158.5,234.8333333
158.5,273.375
158,282
157.8333333,288.5
159,242
159,248
159,254
159,260
159,266
142.8716356,112.5942029
143.8178054,118.2712215
